id,customer_id,address_type,recipient_name,line_1,city,postal_code,country_code,delivery_instructions,is_primary,status,created_at_utc,updated_at_utc
c5000000-0000-0000-0000-000000000003,c5000000-0000-0000-0000-000000000001,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
86f58a85-b2e1-587f-827e-90a44607e5df,8bd6f9c9-b7a5-58e3-8b24-a6de79dbaf44,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
84994b44-b33a-5a6f-8e06-277e4651aa64,be528f36-b683-51fc-bb91-63d4ffd6dc83,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
1dae41bf-6e37-57d3-9f07-91e024d96b2a,0b266f06-c755-5169-bc3e-ba9b1bdd2f8f,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
5269b336-3987-5f02-806b-67f4891fb785,7cbe3383-9bbd-59f0-b0f5-f97f28407fca,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
d8de7933-f195-585e-afc5-4d50fed7da3f,16d238ca-c49a-50fc-bc41-9e42cddf20fb,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
b8ed3c88-1159-544d-87d0-d8a48a41646a,b3a6a94b-4f02-542c-8cb7-51c81f7c597a,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
dbf072f1-84e2-5ebb-8d53-b95024459a19,8440e79a-e220-5289-b652-ffe22e4d2854,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
9f63ddb7-4fa6-5d2f-b4fe-6d771c889ff2,9a07c783-0054-5fb8-8db7-f2ee5c72f663,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
feab9093-94ab-5a0e-9cab-03f51d8ef0b9,4ff8f0ff-43ae-531e-a627-25bc8ce28c80,delivery,Alex Example,10 Fictional Street,Singapore,000010,SG,Sample address only,true,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
