id,organization_id,customer_number,identity_subject_id,display_name,status,contact_preferences,attributes,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
c5000000-0000-0000-0000-000000000001,d0000000-0000-0000-0000-000000000001,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8bd6f9c9-b7a5-58e3-8b24-a6de79dbaf44,bb3420c0-32a0-5720-aa72-f0936f958648,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
be528f36-b683-51fc-bb91-63d4ffd6dc83,945f204f-8a0b-5d85-842c-05aafebb966a,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
0b266f06-c755-5169-bc3e-ba9b1bdd2f8f,56a7e669-46f5-5118-a696-f2b6561f58ac,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
7cbe3383-9bbd-59f0-b0f5-f97f28407fca,1cdb3803-079e-5438-a101-9d4d00dd4260,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
16d238ca-c49a-50fc-bc41-9e42cddf20fb,08c4efea-76ce-591c-a070-21215c088915,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
b3a6a94b-4f02-542c-8cb7-51c81f7c597a,701792d1-1719-5c01-96c0-f5ba78aba70b,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
8440e79a-e220-5289-b652-ffe22e4d2854,1b264edf-2534-5780-af9e-bd9daf4e08d8,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
9a07c783-0054-5fb8-8db7-f2ee5c72f663,85ae16e0-e720-5553-bc62-af68b3c830c6,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
4ff8f0ff-43ae-531e-a627-25bc8ce28c80,9eab117f-d877-5ac6-ab8d-2fa518355633,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e42c3c87-2434-5d3b-ad9c-66ccf1b8c537,6d00f4f4-33ba-5482-b60c-e36040cfc7fc,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
e2e97e59-026c-5c85-b773-7a0e17196c43,6ee0d174-eaeb-52cb-b049-bd26500b460a,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
c110fc98-4328-5f49-b862-f244458b0d0d,ac369797-324c-58d6-b706-fbe0069434f6,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
495949fe-5655-56b8-86ca-9ee250d9328e,f7045341-fa42-5fa7-997c-8ada85021b17,DEMO-0001,sample-customer-001,Alex Example,active,"{""email"":true}","{""fictional"":true}",2026-01-01T00:00:00Z,sample-data,2026-01-01T00:00:00Z,sample-data,1
