id,customer_id,contact_type,contact_value,normalized_value,is_primary,is_verified,verified_at_utc,status,created_at_utc,updated_at_utc
c5000000-0000-0000-0000-000000000002,c5000000-0000-0000-0000-000000000001,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
68fa955c-248e-5586-9546-df433c77b394,8bd6f9c9-b7a5-58e3-8b24-a6de79dbaf44,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
686e3362-4a96-5aaa-8a46-fe907cba446e,be528f36-b683-51fc-bb91-63d4ffd6dc83,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
4c08ee32-c740-521a-8745-4c7828fb8c55,0b266f06-c755-5169-bc3e-ba9b1bdd2f8f,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
2f585c1a-9f8d-53ff-8564-b948cd081d89,7cbe3383-9bbd-59f0-b0f5-f97f28407fca,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
9cfefbd5-8fbc-567e-9b2f-589f62985044,16d238ca-c49a-50fc-bc41-9e42cddf20fb,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
10d3fe36-ff52-5130-acd8-3726619e45a8,b3a6a94b-4f02-542c-8cb7-51c81f7c597a,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
bedc4ce0-0e77-5446-a84f-dd637b8b9e5f,8440e79a-e220-5289-b652-ffe22e4d2854,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
050373d0-2dee-580b-97b1-b2c62a23dc91,9a07c783-0054-5fb8-8db7-f2ee5c72f663,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
9b183f87-ffb7-5c93-abac-48bf55282e6b,4ff8f0ff-43ae-531e-a627-25bc8ce28c80,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
059ff337-5b8a-5158-acaa-8ebde226ca07,e42c3c87-2434-5d3b-ad9c-66ccf1b8c537,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
ed3fae92-4982-59db-892f-4175b1afa8db,e2e97e59-026c-5c85-b773-7a0e17196c43,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
94044e8e-6cc4-5cef-898b-54eb62b8c014,c110fc98-4328-5f49-b862-f244458b0d0d,email,alex@example.test,alex@example.test,true,true,2026-01-01T00:00:00Z,active,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z
